,Mevsimlik Ürünler Hariç TÜFE,TÜFE B,TÜFE C,TÜFE D,TÜFE E,TÜFE F,Mallar,Enerji,Gıda ve alkolsüz içecekler,Taze meyve ve sebze,İşlenmemiş gıda,Diğer işlenmemiş gıda,İşlenmiş Gıda,Ekmek ve tahıllar,Diğer işlenmiş gıda,Enerji ve gıda dışı mallar,Temel mallar,Giyim ve ayakkabı,Dayanıklı Mallar (altın hariç),Diğer Temel Mallar,"Alkollü içecekler, tütün ve altın",Hizmet,Kira,Lokanta ve oteller,Ulaştırma hizmetleri,Haberleşme hizmetleri,Diğer hizmetler
2024-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-01,100.93800662997562,101.11365399050663,101.39048892611076,100.95792808286124,100.91061596640137,100.26421402131496,100.19348191982674,100.0,100.33215580504115,100.87672471914388,100.61577610004645,100.42341710494068,100.0820858557,100.0355380633682,100.10520339311748,100.1460755876764,100.02153685109742,100.00000000000006,100.0,100.0898636366022,101.00423872834494,103.09840624016572,100.0,100.0,111.241923388992,100.0,113.98865185213504
2025-01-02,101.01585154487042,101.1652747620716,101.39048892611076,101.00233055181712,100.98039188151994,100.33965394905756,100.28213480783164,100.0,100.56859771992151,100.91348609458994,100.84367437441156,100.79221247211608,100.32606075671868,100.27417335262408,100.35183016372088,100.1460755876764,100.02153685109742,100.00000000000006,100.0,100.0898636366022,101.00423872834494,103.09840624016572,100.0,100.0,111.241923388992,100.0,113.98865185213504
2025-01-03,101.04016506015468,101.1646677471275,101.39048892611076,101.00180841777318,101.00306351175318,100.36416593351083,100.31093995488752,100.0,100.64542256208492,101.02953376690095,101.01088501222736,100.99713803122626,100.32319182612324,100.2724877841022,100.3483735271218,100.1460755876764,100.02153685109742,100.00000000000004,100.0,100.0898636366022,101.00423872834494,103.09840624016572,100.0,100.0,111.241923388992,100.0,113.98865185213504
2025-01-04,101.04466894106896,101.19602656399609,101.39048892611076,101.02878222793306,100.99692716597028,100.35795764361885,100.3031434999858,100.0,100.62462900681874,100.5071138904927,100.79841264337917,101.013144323411,100.47140278868028,100.40455083839412,100.50460420135228,100.1460755876764,100.02153685109742,100.00000000000004,100.0,100.0898636366022,101.00423872834494,103.09840624016572,100.0,100.0,111.241923388992,100.0,113.98865185213504
2025-01-05,101.05045338902634,101.19802763950264,101.39048892611076,101.0305034864568,100.98206070959192,100.34188441271864,100.28425511579046,100.0,100.57425269276229,100.17243727077866,100.68017478849184,101.05445490165212,100.48086045821609,100.39921736583084,100.52140775699344,100.1460755876764,100.02153685109742,100.00000000000004,100.0,100.0898636366022,101.00423872834494,103.09840624016572,100.0,100.0,111.241923388992,100.0,113.98865185213504
2025-01-06,101.86654492471364,101.43478422408484,101.69078226763146,101.98327677372524,101.80308634379595,100.6123648680501,101.12154109129186,105.35725882003786,100.57425269276229,100.17243727077866,100.68017478849184,101.05445490165212,100.48086045821609,100.39921736583084,100.52140775699344,100.18232614826988,100.06304818182036,100.00000000000004,100.08238404247554,100.0898636366022,101.00423872834494,103.72155842011804,100.7816400432916,100.0,111.241923388992,100.0,115.98428519347264
2025-01-07,102.0170026487605,101.52818482255196,101.78174735065916,102.09519441957411,101.95510337415313,100.76936568265968,101.25176404224936,105.58308172395763,100.8170331075482,101.11532274320312,101.0820833488408,101.05758083750516,100.58333650127514,100.53007022926944,100.60979071047608,100.1921168268068,100.07423703398804,100.00532062158952,100.08551022472822,100.12428345234824,101.00439496616758,103.91205306917118,100.96908228132912,100.18172143253577,111.241923388992,100.0,116.34189067292394
2025-01-08,102.03862673548572,101.42068690909376,101.64270076235772,102.00272888466364,102.00903927494244,100.82768000131374,101.42411573513245,105.58308595069914,101.27514819702375,103.07699174322012,102.04836439429153,101.29010890375632,100.59339819998289,100.53354627287108,100.62312311485442,100.19335156845447,100.07565037224322,100.00645469544826,100.08605456525886,100.12782265537402,101.0043990463372,103.59776737288684,101.16077380166462,100.2044142002289,111.241923388992,100.0,114.34533457322767
2025-01-09,102.50111621673832,101.6329394391092,101.8707393513207,102.26785675027293,102.55829974943596,101.42405496611616,101.97642599998323,106.17346970739273,102.44372438927842,107.5932291129792,104.36828377603064,101.9910064160966,100.74682724607362,100.8020638834386,100.71939447284988,100.24372037723556,100.13326027753465,100.01008812335724,100.15908110887142,100.21078031201986,101.00487139483678,104.03843436934996,101.14692790448214,100.61787328755636,111.241923388992,100.0,115.9094232196303
