,Pirinç,Un ve diğer tahıllar,Ekmek,"Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)",Makarna çeşitleri,Kahvaltılık tahıl ürünleri,Dana eti,Kuzu eti,Tavuk eti,Diğer etler ve yenilebilir sakatatlar,"Şarküteri ürünleri (sucuk, sosis, salam vb.)",Taze balık,Konserve edilmiş veya işlenmiş balık,Süt,"Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)",Peynir,Yumurta,Tereyağı,Margarin,"Sıvı yağlar (zeytinyağı, ayçiçek yağı)",Taze meyveler,Kuru meyve ve sert kabuklu yemişler,Taze sebzeler (patates hariç),Patates,Kuru baklagiller,"Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)",Şeker,"Reçel, marmelat, bal vb. ürünler",Çikolata ve şekerlemeler,Dondurma,"Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)",Kahve,Çay ve bitki çayları,Toz kakao,Su ve maden suyu,"Alkolsüz içecekler (meşrubat, ayran vb.)",Meyve ve sebze suları,"Alkollü içecekler (rakı, viski, votka vb.)",Şarap,Bira,Sigaralar,Erkek giyim,Kadın giyim,Çocuk giyim,Bebek giyim,"Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)",Giyim eşyalarının temizlenmesi ve tadilatı,Erkek ayakkabısı,Kadın ayakkabısı,Çocuk ve bebek ayakkabısı,Ayakkabı bakım ve tamiri,Gerçek kira,Konutun bakım ve onarımı için malzemeler,Su (şebeke suyu),Elektrik,Doğalgaz ve ilgili abonelik ücretleri,Tüpgaz (ev tüpü),"Katı yakıtlar (odun, kömür)",Mutfak mobilyaları,Yatak odası mobilyaları,Yemek odası ve oturma odası mobilyaları,Halı,Ev tekstili,"Buzdolabı, derin dondurucu",Çamaşır ve bulaşık makineleri,"Fırın, ocak ve fırınlı ocak",Klima ve ısıtıcılar,Diğer büyük ev aletleri (elektrikli süpürge vb.),Elektrikli küçük ev aletleri,"Cam, porselen, seramik vb. mutfak eşyaları",Çatal-bıçak takımı,"Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)","Çeşitli küçük aksesuarlar (pil, ampul vb.)",Evle ilgili küçük bakım-tamir mal ve hizmetleri,"Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)","Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)",Ev içi hizmetler (gündelikçi ücreti),Ev eşyalarının yıkanması ve temizlenmesi hizmetleri,İlaçlar,"Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)",Benzinli ve elektrikli otomobiller (sıfır km),Dizel otomobiller (sıfır km),Motosikletler,Bisikletler,"Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)",Kişisel ulaştırma araçlarının bakım ve onarımı,Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil),Demiryolu ile şehir içi yolcu taşımacılığı,Otobüs ile şehir içi yolcu taşımacılığı,Karayolu ile şehirler arası yolcu taşımacılığı,Havayolu ile yolcu taşımacılığı,Deniz ve yurt içi su yolu ile yolcu taşımacılığı,"Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)","Mobil telefon, ekipman ve aksesuarları",Telefon (mobil ve sabit hat) ve internet ücretleri,Televizyonlar,Bilgisayar ve ekipmanları,Müzik enstrümanları,"Oyunlar, oyuncaklar ve hobiler","Spor, kamp ve açık hava eğlence malzemeleri",Evcil hayvanlar ile ilgili ürünler,Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler,Kitaplar,Kırtasiye malzemeleri,Okul öncesi eğitim ve ilköğretim,Orta öğretim,Üniversite eğitimi,"Lokanta, pastane, kafe vb. yerlerde yenen yemekler","Lokanta, pastane, kafe vb. yerlerde içilen içecekler","Otel, pansyion vb. yerlerde konaklama hizmetleri",Erkekler için kuaförlük hizmetleri,Kadınlar için kuaförlük hizmetleri,Kişisel bakımda kullanılan elektrikli aletler,"Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler","Mücevheratlar, saat ve kol saatleri",Seyahat malzemeleri ve diğer kişisel aksesuarlar,Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar,Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.)
2024-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2025-01-01,100.0,99.99707767980556,100.0,100.1205086518612,100.0,99.99498513288954,100.51089238530868,100.29026522048272,100.060885151322,100.0,100.91836131048191,99.84768002173637,100.01201835637762,100.07427632886628,100.11573822819672,99.96509719219851,100.12633281115777,100.0,99.57003771268565,100.0,99.83078239482042,102.06354189649691,101.46280062536457,99.27029492246882,99.9997454231806,100.2086400261994,100.00000000000004,100.00305872309865,100.01009427233046,100.1944984348579,100.00360815329444,100.19544783159635,100.0,100.32349262476043,100.1175864364524,100.0786541859904,100.00075929405077,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.84,189.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-02,100.0,101.37955035127496,100.0,100.31513882630983,100.0,100.16129623663484,101.0535974591246,100.29026522048272,100.55600431883866,100.0,103.26314565179356,98.8843453861628,100.01201835637762,100.01880891388576,100.1665470720372,99.96484878135558,100.12633281115777,100.11695906432752,99.57003771268565,100.0,99.57099609301557,102.06354189649691,101.77786952116408,102.89640061238596,101.57368720548436,100.19242088360348,100.00000000000004,100.812112510883,100.0119864049795,101.3727611293656,100.48939901218536,100.54207127487322,100.0,101.9036400456087,100.1175864364524,100.0786541859904,100.05877555128224,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.84,189.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-03,100.0,101.34182013134482,100.0,100.32274516384388,100.0,100.25457018455695,100.97057610071258,100.21451921151284,101.36507111455676,102.5696710781246,103.22203527208428,102.14723058056748,100.01201835637762,99.99437290945129,100.15378666140144,99.95989447777367,100.12633281115777,100.11695906432752,99.10017895749242,99.8925455642763,100.86940320742612,101.61376617750987,102.09210821321533,101.67184840675095,101.57368720548436,100.19243194106524,100.00000000000004,100.85386305977354,99.9975454395364,101.3727611293656,100.5394235045864,100.38486701957784,100.00825324869356,101.9036400456087,100.20318716462656,100.05561888755842,100.2059818547139,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.84,189.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-04,100.26082749735896,101.420202058786,99.98477820942622,100.74520169536872,100.0,100.59793963296912,101.03901454380528,100.0368215536468,101.4060092202782,104.27747652706,103.47756911971166,101.94751714969634,100.01201835637762,100.66237038131722,100.2338252694486,100.02495594742518,100.12633281115777,100.11695906432752,99.10017895749242,99.60950414638587,100.2108545057932,101.61376617750987,101.92169798480737,101.67184840675095,101.807715871183,100.17521816308869,100.00000000000004,100.88249065508695,100.60478049408118,102.04063132999688,100.4110790401526,101.6551866070349,100.00825324869356,102.71768518280427,100.20318716462656,100.315976758071,101.64540437813103,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.84,189.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-05,100.18649996620358,101.420202058786,99.98477820942622,100.74520169536872,99.9174716118599,100.59793963296912,101.03901454380528,99.66462155389108,101.49954805039845,104.27747652706,103.424427288378,103.31507917144982,100.01201835637762,100.67936964774428,100.23658856227412,100.02857728024884,100.12633281115777,100.11695906432752,99.10017895749242,99.81929356281564,99.66837699733126,101.61535918815672,101.92169798480737,101.67184840675095,101.9370645744901,100.16144831972316,100.00000000000004,100.88249065508695,100.60478049408118,102.04063132999688,100.17514373550824,101.80789228639964,100.00825324869356,102.71768518280427,100.20318716462656,100.24813913096338,101.64540437813103,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.84,189.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-06,99.90804971913484,101.420202058786,99.98477820942622,100.75840592319275,99.9174716118599,100.59793963296912,101.03901454380528,99.66462155389108,101.57148710241135,104.27747652706,103.43352528310344,102.76226643528612,100.01201835637762,100.61352686064956,100.2548664135028,100.08133326413451,100.12633281115777,100.11695906432752,99.10017895749242,99.81929356281564,99.8438536512032,101.61535918815672,103.03983975505469,101.67184840675095,101.9370645744901,100.13518343354131,100.00000000000004,100.96452664013432,100.60478049408118,102.04063132999688,100.17514373550824,102.1784938025748,100.00825324869356,102.608438775136,100.20318716462656,100.27270029059252,101.64560526711116,113.36390460869518,102.58,117.13,100.0,100.00000000000004,99.99999999999996,100.00000000000004,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.7816400432916,100.0,124.5659522287137,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.21,100.0,100.84,189.83,100.18050399864804,100.0048635789272,100.0,100.0,101.89848306865537,100.0,100.0,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999996,100.0,100.0,100.0,100.0
2025-01-07,99.90804971913484,101.42011862181288,100.27446547146153,100.76274087636868,99.70797594131736,100.59793963296912,101.22273198322412,99.84954209651822,101.59549273339444,104.27747652706,103.43352528310344,101.77744965424904,100.01201835637762,100.6498979660042,100.2689717762923,100.085053603281,100.12633281115777,100.11695906432752,99.6269032781036,100.14535854829572,99.75487120867524,101.61535918815672,104.24482711689686,101.67184840675095,101.9370645744901,100.13518343354131,100.00000000000004,100.96452664013432,100.60478049408118,102.04063132999688,100.20453547766982,102.30228780189968,100.00825324869356,102.608438775136,100.20318716462656,100.31957888061822,101.64560526711116,113.36390460869518,102.58,117.13,100.0,100.00771897576186,100.00184983776134,100.0100907410494,100.0114461065018,99.99919938832812,100.0,100.00235731094402,100.00025283912794,100.00207687251822,100.0,100.9690822813292,100.09613088005376,124.5659522287137,100.0,100.0,100.0,100.73948671813876,100.03561674368888,99.99038538023058,100.05757766084125,100.0387378470076,100.0487828388212,100.02373207775292,100.01342934550608,99.998980628922,100.01297743211758,100.0071592231427,100.02059430634604,100.03562715303455,100.0085382596521,100.37411684902112,99.99798322662356,100.0059941396248,100.01361864819684,100.0187099682658,120.21,100.0,100.84,189.83,100.18290152953914,100.0048661643636,100.0814589724821,98.04195802080255,102.41756687660065,100.0,100.15018767256154,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.00537386737,100.00596451232562,100.001326941058,99.99952518155528,100.017798642673,100.0029171300677,100.0,99.99989657041782,100.02114175361086,100.0,100.0,102.1139667957906,100.22559181881655,100.04687312478526,100.0,100.0,100.0,100.0129168758922,99.80822523855043,100.00135352423,99.99137043578592,102.77275220499246,100.0
2025-01-08,99.94262625975873,101.44457445209312,100.27446547146153,100.76378498013698,99.70797594131736,100.59793963296912,101.22273198322412,99.84954209651822,101.70001385223348,104.27747652706,103.4365043208243,104.49478360285526,100.01201835637762,100.6498979660042,100.2305754911016,100.17336498409514,100.2851437432177,100.11695906432752,99.15677618130486,100.24209733947924,100.52703817442008,101.61535918815672,106.60466505590831,103.99224053471028,101.9370645744901,100.06156207536227,100.00000000000004,100.96452664013432,100.60478049408118,102.04063132999688,100.21334620294864,102.30228780189968,100.00825324869356,102.608438775136,100.20318716462656,100.29656293634626,101.64560526711116,113.36390460869518,102.58,117.13,100.0,100.00958411920136,100.00242653540457,100.0117905473111,100.01254415938054,99.99949576369283,100.0,100.00258275135144,100.00025641620388,100.0024084823464,100.0,101.16077380166467,100.10734271974351,124.5659522287137,100.0,100.0,100.0,100.7395358783527,100.0394476331666,99.99098886427193,100.06130158629608,100.0414229672642,100.07210876250876,100.02427544685908,100.01351287962235,99.99898190700176,100.01322512732447,100.0072732541548,100.0210912996238,100.04048796455194,100.00879712563236,100.37832045653332,99.99824133699578,100.00613763645867,100.01396000744634,100.02081827819612,100.0,100.0,100.84,189.83,100.18290152953912,100.00486616436358,100.08174462179764,98.06751458956472,102.4175683469138,100.0,100.15018767256154,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.00541145512992,100.00614642605034,100.00135774573218,99.99955291193436,100.01818560398286,100.0032132680244,100.0,100.0001192384802,100.02770679871928,100.0,100.0,102.10840372527534,100.22672711333068,100.04689710991578,100.33894414911906,100.0,100.0,100.01302706896298,99.80932460702856,100.0013888716789,99.99184185964944,102.77276030391664,100.0
2025-01-09,100.17440622299524,101.70932681485476,100.02077944525556,101.22824634618262,99.70797594131736,100.52160891409116,100.8904306483149,100.2884779211142,101.8309275136211,104.27747652706,103.24415731053269,106.74909995235484,100.01201835637762,100.6498979660042,100.20608787666798,100.86091674046756,100.70292339990546,100.85376438514488,99.15677618130486,100.08833661992604,101.36999565023412,101.89841591830088,106.9001414035692,103.99224053471028,102.55267320484924,100.28235960596945,99.68147845166398,101.5097104967547,101.3065088198354,102.16802287972226,100.2271950073508,102.51348898793498,100.00825324869356,102.608438775136,100.2019505707364,100.2865417078443,101.64560526711116,113.36390460869518,102.58,117.13,100.0,100.01317826758044,100.00172638440876,100.00977696302856,100.11377487270803,100.00599258711809,100.0,99.99669692415924,99.9987008875847,100.06268986913538,100.0,101.1469279044822,100.0532499735703,124.5659522287137,100.0,100.0,106.9844789356984,100.37099270461546,100.04996034390066,99.98524555237546,100.06173703103664,100.0570975822795,100.03705786687492,100.02022060873466,99.99951354948558,100.0472330772566,100.0253451254575,100.0209824544841,100.02792367943094,100.03127358291464,100.0059933198677,100.644677281572,99.99779490617247,100.0081915474257,100.01340210751108,100.0132910456401,120.21,100.0,100.84,189.83,100.27879857257388,100.0048635789272,101.1169230503158,97.74108080985992,103.3517700059221,100.0,88.14688738238645,100.0,100.0,104.59,134.48,127.65,100.0,100.0,100.0,100.0067151904897,100.00773915545712,100.0242111645959,100.01543733884114,99.99392873253204,100.0073843169225,122.856344475197,100.00345298477056,100.02415751917468,100.0,100.0,101.9356353253647,100.72443068438253,100.35949458478268,100.0,100.0,100.0,100.0301563378066,100.1480604973608,100.00548093548528,100.00325572645744,101.91640005571251,100.0
